,PID,ID,NAME,Prob
0,NR1C1,DB00006,Bivalirudin,0.49790419161676647
1,NR1C2,DB00006,Bivalirudin,0.5548902195608783
2,NR1C3,DB00006,Bivalirudin,0.48502994011976047
3,NR1H2,DB00006,Bivalirudin,0.4870259481037924
4,NR2B1,DB00006,Bivalirudin,0.48303393213572854
5,NR1H3,DB00006,Bivalirudin,0.47904191616766467
6,NR1H4,DB00006,Bivalirudin,0.4930139720558882
7,NR2B3,DB00006,Bivalirudin,0.46706586826347307
8,NR2B2,DB00006,Bivalirudin,0.5189620758483033
9,NR1D1,DB00006,Bivalirudin,0.4111776447105788
10,NR1I2,DB00006,Bivalirudin,0.38323353293413176
11,NR1C1,DB00014,Goserelin,0.5561100022177866
12,NR1C2,DB00014,Goserelin,0.5828343313373253
13,NR1C3,DB00014,Goserelin,0.5189620758483033
14,NR1H2,DB00014,Goserelin,0.5369261477045908
15,NR2B1,DB00014,Goserelin,0.5063206919494345
16,NR1H3,DB00014,Goserelin,0.5269461077844312
17,NR1H4,DB00014,Goserelin,0.5249500998003992
18,NR2B3,DB00014,Goserelin,0.48037258815701933
19,NR2B2,DB00014,Goserelin,0.5342648037258815
20,NR1D1,DB00014,Goserelin,0.4550898203592814
21,NR1I2,DB00014,Goserelin,0.4264803725881571
22,NR1C1,DB00027,Gramicidin D,0.5167997338656021
23,NR1C2,DB00027,Gramicidin D,0.5196274118429808
24,NR1C3,DB00027,Gramicidin D,0.4630738522954092
25,NR1H2,DB00027,Gramicidin D,0.5049900199600799
26,NR2B1,DB00027,Gramicidin D,0.5063206919494345
27,NR1H3,DB00027,Gramicidin D,0.49700598802395207
28,NR1H4,DB00027,Gramicidin D,0.5069860279441117
29,NR2B3,DB00027,Gramicidin D,0.49234863606121093
30,NR2B2,DB00027,Gramicidin D,0.5402528276779774
31,NR1D1,DB00027,Gramicidin D,0.39520958083832336
32,NR1I2,DB00027,Gramicidin D,0.3680971390552229
33,NR1C1,DB00050,Cetrorelix,0.5106010201818585
34,NR1C2,DB00050,Cetrorelix,0.5548902195608783
