,PID,ID,NAME,Prob
0,NR1C1,DB00006,Bivalirudin,0.535662009314704
1,NR1C2,DB00006,Bivalirudin,0.6051230871590153
2,NR1C3,DB00006,Bivalirudin,0.5279441117764471
3,NR1H2,DB00006,Bivalirudin,0.5144710578842315
4,NR2B1,DB00006,Bivalirudin,0.49234863606121093
5,NR1H3,DB00006,Bivalirudin,0.49101796407185627
6,NR1H4,DB00006,Bivalirudin,0.5249500998003992
7,NR2B3,DB00006,Bivalirudin,0.4963406520292748
8,NR2B2,DB00006,Bivalirudin,0.5562208915502328
9,NR1D1,DB00006,Bivalirudin,0.4417831004657352
10,NR1I2,DB00006,Bivalirudin,0.4126746506986028
11,NR1C1,DB00014,Goserelin,0.524839210467953
12,NR1C2,DB00014,Goserelin,0.5528942115768463
13,NR1C3,DB00014,Goserelin,0.4880239520958084
14,NR1H2,DB00014,Goserelin,0.4930139720558882
15,NR2B1,DB00014,Goserelin,0.49833666001330673
16,NR1H3,DB00014,Goserelin,0.47904191616766467
17,NR1H4,DB00014,Goserelin,0.49001996007984033
18,NR2B3,DB00014,Goserelin,0.5123087159015302
19,NR2B2,DB00014,Goserelin,0.5562208915502328
20,NR1D1,DB00014,Goserelin,0.41982701264138395
21,NR1I2,DB00014,Goserelin,0.39520958083832336
22,NR1C1,DB00027,Gramicidin D,0.544133954313595
23,NR1C2,DB00027,Gramicidin D,0.5439121756487026
24,NR1C3,DB00027,Gramicidin D,0.49201596806387227
25,NR1H2,DB00027,Gramicidin D,0.5099800399201597
26,NR2B1,DB00027,Gramicidin D,0.5033266799733865
27,NR1H3,DB00027,Gramicidin D,0.47604790419161674
28,NR1H4,DB00027,Gramicidin D,0.49600798403193613
29,NR2B3,DB00027,Gramicidin D,0.5312707917498336
30,NR2B2,DB00027,Gramicidin D,0.5612109115103127
31,NR1D1,DB00027,Gramicidin D,0.43812375249500995
32,NR1I2,DB00027,Gramicidin D,0.4095143047238856
33,NR1C1,DB00050,Cetrorelix,0.5212463960966954
34,NR1C2,DB00050,Cetrorelix,0.5389221556886228
35,NR1C3,DB00050,Cetrorelix,0.468063872255489
36,NR1H2,DB00050,Cetrorelix,0.5089820359281437
37,NR2B1,DB00050,Cetrorelix,0.5043246839654025
38,NR1H3,DB00050,Cetrorelix,0.48902195608782434
39,NR1H4,DB00050,Cetrorelix,0.49600798403193613
40,NR2B3,DB00050,Cetrorelix,0.5222887558216899
41,NR2B2,DB00050,Cetrorelix,0.5582168995342647
42,NR1D1,DB00050,Cetrorelix,0.41783100465735196
43,NR1I2,DB00050,Cetrorelix,0.40119760479041916
44,NR1C1,DB00091,Cyclosporine,0.5133399866932801
45,NR1C2,DB00091,Cyclosporine,0.574517631403859
46,NR1C3,DB00091,Cyclosporine,0.5252827677977377
47,NR1H2,DB00091,Cyclosporine,0.5399201596806387
48,NR2B1,DB00091,Cyclosporine,0.4550898203592814
49,NR1H3,DB00091,Cyclosporine,0.5292747837658017
50,NR1H4,DB00091,Cyclosporine,0.5723552894211577
51,NR2B3,DB00091,Cyclosporine,0.4550898203592814
52,NR2B2,DB00091,Cyclosporine,0.5016633399866933
53,NR1D1,DB00091,Cyclosporine,0.4194943446440453
54,NR1I2,DB00091,Cyclosporine,0.4251497005988024
55,NR1C1,DB00093,Felypressin,0.4929902100560783
56,NR1C2,DB00093,Felypressin,0.5711909514304724
57,NR1C3,DB00093,Felypressin,0.5119760479041916
58,NR1H2,DB00093,Felypressin,0.47604790419161674
59,NR2B1,DB00093,Felypressin,0.46107784431137727
60,NR1H3,DB00093,Felypressin,0.49515255203877956
61,NR1H4,DB00093,Felypressin,0.5059880239520959
62,NR2B3,DB00093,Felypressin,0.47704590818363274
63,NR2B2,DB00093,Felypressin,0.5409181636726547
64,NR1D1,DB00093,Felypressin,0.40119760479041916
65,NR1I2,DB00093,Felypressin,0.4031936127744511
66,NR1C1,DB00106,Abarelix,0.5212463960966954
67,NR1C2,DB00106,Abarelix,0.5389221556886228
68,NR1C3,DB00106,Abarelix,0.468063872255489
69,NR1H2,DB00106,Abarelix,0.5089820359281437
70,NR2B1,DB00106,Abarelix,0.5043246839654025
71,NR1H3,DB00106,Abarelix,0.48902195608782434
72,NR1H4,DB00106,Abarelix,0.49600798403193613
73,NR2B3,DB00106,Abarelix,0.5222887558216899
74,NR2B2,DB00106,Abarelix,0.5582168995342647
75,NR1D1,DB00106,Abarelix,0.41783100465735196
76,NR1I2,DB00106,Abarelix,0.40119760479041916
77,NR1C1,DB00114,Pyridoxal Phosphate,0.8419161676646707
78,NR1C2,DB00114,Pyridoxal Phosphate,0.846307385229541
79,NR1C3,DB00114,Pyridoxal Phosphate,0.8303393213572854
80,NR1H2,DB00114,Pyridoxal Phosphate,0.8139720558882235
81,NR2B1,DB00114,Pyridoxal Phosphate,0.7864271457085829
82,NR1H3,DB00114,Pyridoxal Phosphate,0.812375249500998
83,NR1H4,DB00114,Pyridoxal Phosphate,0.810379241516966
84,NR2B3,DB00114,Pyridoxal Phosphate,0.7704590818363274
85,NR2B2,DB00114,Pyridoxal Phosphate,0.7145708582834331
86,NR1D1,DB00114,Pyridoxal Phosphate,0.8003992015968064
87,NR1I2,DB00114,Pyridoxal Phosphate,0.720558882235529
88,NR1C1,DB00115,Cyanocobalamin,0.5845642049234864
89,NR1C2,DB00115,Cyanocobalamin,0.6028609447771124
90,NR1C3,DB00115,Cyanocobalamin,0.5170326014637391
91,NR1H2,DB00115,Cyanocobalamin,0.5868928809048569
92,NR2B1,DB00115,Cyanocobalamin,0.5891550232867597
93,NR1H3,DB00115,Cyanocobalamin,0.5280106453759148
94,NR1H4,DB00115,Cyanocobalamin,0.5892215568862276
95,NR2B3,DB00115,Cyanocobalamin,0.5931470392548236
96,NR2B2,DB00115,Cyanocobalamin,0.6230871590153026
97,NR1D1,DB00115,Cyanocobalamin,0.5678642714570858
98,NR1I2,DB00115,Cyanocobalamin,0.5671989354624084
99,NR1C1,DB00117,Histidine,0.8547476475620188
